id,order_id,order,type,x,y
1,1,Taproot,kr,0,0.00010109
2,1,Taproot,kr,9,0.00010109
3,1,Taproot,kr,20,0.00010109
4,1,Taproot,kr,50,0.00010109
5,1,Taproot,kx,0,0.0295
6,1,Taproot,kx,9,0.0295
7,1,Taproot,kx,20,4.32
8,1,Taproot,kx,50,4.32
9,2,Lateral,kr,0,0.00015526062957976877
10,2,Lateral,kr,13,0.00015526062957976877
11,2,Lateral,kr,13.1,0.00015526062957976877
12,2,Lateral,kr,50,0.00015526062957976877
13,2,Lateral,kx,0,0.0000864
14,2,Lateral,kx,9,0.0000864
15,2,Lateral,kx,20,0.00173
16,2,Lateral,kx,50,0.00173
17,3,LongLateral,kr,0,0.00015526062957976877
18,3,LongLateral,kr,13,0.00015526062957976877
19,3,LongLateral,kr,13.1,0.00015526062957976877
20,3,LongLateral,kr,50,0.00015526062957976877
21,3,LongLateral,kx,0,0.0000864
22,3,LongLateral,kx,9,0.0000864
23,3,LongLateral,kx,20,0.00173
24,3,LongLateral,kx,50,0.00173
25,4,Basalroot,kr,0,0.00010109
26,4,Basalroot,kr,9,0.00010109
27,4,Basalroot,kr,20,0.00010109
28,4,Basalroot,kr,50,0.00010109
29,4,Basalroot,kx,0,0.0295
30,4,Basalroot,kx,9,0.0295
31,4,Basalroot,kx,20,4.32
32,4,Basalroot,kx,50,4.32
33,5,Shootborneroot,kr,0,0.00010109
34,5,Shootborneroot,kr,9,0.00010109
35,5,Shootborneroot,kr,20,0.00010109
36,5,Shootborneroot,kr,50,0.00010109
37,5,Shootborneroot,kx,0,0.0295
38,5,Shootborneroot,kx,9,0.0295
39,5,Shootborneroot,kx,20,4.32
40,5,Shootborneroot,kx,50,4.32
